Sys.argv: ['dijkstra.py', '--debug', 'False']
Getting all possible blizzards...
         2239576 function calls (1912412 primitive calls) in 1.008 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       39    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      927    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
       50    0.000    0.000    0.000    0.000 _internal.py:872(_ufunc_doc_signature_formatter)
       16    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      396    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       41    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      156    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
       30    0.000    0.000    0.000    0.000 enum.py:953(__and__)
      168    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       16    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
      147    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
       32    0.000    0.000    0.001    0.000 abc.py:84(__new__)
        1    0.000    0.000    0.007    0.007 pathlib.py:1(<module>)
      366    0.000    0.000    0.000    0.000 enum.py:414(<genexpr>)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
       66    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       72    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ExifTags.py:20(Base)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:371(<dictcomp>)
        1    0.000    0.000    0.003    0.003 _array_like.py:1(<module>)
       66    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      338    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
       50    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
       20    0.000    0.000    0.017    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
      207    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.001    0.001 polynomial.py:1(<module>)
       33    0.000    0.000    0.000    0.000 enum.py:558(_find_data_type)
       30    0.000    0.000    0.004    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.002    0.002 _methods.py:1(<module>)
       16    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       15    0.000    0.000    0.000    0.000 enum.py:594(_find_new_)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        1    0.000    0.000    0.001    0.001 _ufunc_config.py:1(<module>)
      271    0.000    0.000    0.000    0.000 typing.py:193(<listcomp>)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.026    0.026 index_tricks.py:1(<module>)
      160    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.004    0.004 __init__.py:17(<module>)
       30    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.001    0.001 npyio.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
      378    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       14    0.000    0.000    0.001    0.000 core.py:115(doc_note)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       24    0.000    0.000    0.000    0.000 numerictypes.py:514(_scalar_type_key)
       70    0.000    0.000    0.000    0.000 enum.py:646(__new__)
        1    0.000    0.000    0.005    0.005 _internal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
       15    0.000    0.000    0.000    0.000 enum.py:164(__prepare__)
        1    0.000    0.000    0.004    0.004 _char_codes.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:6855(getdoc)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:203(_add_array_type)
       49    0.000    0.000    0.000    0.000 core.py:131(get_object_signature)
       93    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
       54    0.000    0.000    0.005    0.000 typing.py:343(__getitem__)
       28    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.002    0.002 ntpath.py:2(<module>)
       15    0.000    0.000    0.000    0.000 enum.py:197(<dictcomp>)
      371    0.000    0.000    0.000    0.000 enum.py:768(value)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6754(refer_to_array_attribute)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
       36    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
        2    0.000    0.000    0.000    0.000 typing.py:1889(__new__)
      194    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       33    0.000    0.000    0.000    0.000 enum.py:547(_get_mixins_)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
       81    0.000    0.000    0.000    0.000 __init__.py:23(decorator)
       23    0.000    0.000    0.001    0.000 overrides.py:177(decorator)
       30    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        8    0.000    0.000    0.000    0.000 typing.py:611(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:521(<listcomp>)
       71    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
    20/15    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
       38    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1597(path_hook_for_FileFinder)
      112    0.000    0.000    0.000    0.000 typing.py:911(__eq__)
        1    0.000    0.000    0.000    0.000 pickle.py:1136(_Unpickler)
      110    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       81    0.000    0.000    0.000    0.000 __init__.py:12(set_module)
        4    0.000    0.000    0.000    0.000 typing.py:1150(__init_subclass__)
       33    0.000    0.000    0.001    0.000 typing.py:766(copy_with)
        1    0.000    0.000    0.004    0.004 subprocess.py:10(<module>)
       18    0.000    0.000    0.001    0.000 arrayprint.py:506(wrapper)
       36    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
        1    0.000    0.000    0.000    0.000 numerictypes.py:441(_construct_lookups)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
       39    0.000    0.000    0.004    0.000 typing.py:349(__getitem__)
       22    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _scalars.py:1(<module>)
        3    0.000    0.000    0.001    0.000 enum.py:451(_create_)
       16    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 nanfunctions.py:1(<module>)
       77    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
      328    0.000    0.000    0.000    0.000 enum.py:763(name)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1036(get_filename)
        1    0.000    0.000    0.008    0.008 platform.py:3(<module>)
       30    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:46(<genexpr>)
        8    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
       50    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        3    0.000    0.000    0.000    0.000 enum.py:993(_decompose)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
        8    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1472(<genexpr>)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
       60    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       72    0.000    0.000    0.000    0.000 typing.py:197(_check_generic)
        1    0.000    0.000    0.003    0.003 version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       37    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
        5    0.000    0.000    0.001    0.000 typing.py:1818(__new__)
        7    0.000    0.000    0.000    0.000 getlimits.py:685(__init__)
       15    0.000    0.000    0.000    0.000 enum.py:537(_check_for_existing_members)
       18    0.000    0.000    0.001    0.000 arrayprint.py:1595(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:74(_add_types)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
        1    0.000    0.000    0.022    0.022 defmatrix.py:1(<module>)
        1    0.000    0.000    0.012    0.012 py3k.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:757(create_module)
