Skipping:
pos == (0, 0)
pos == (0, 0)
Solution to puzzle: 1001
         7448013 function calls (7445700 primitive calls) in 8.759 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       50    0.000    0.000    0.000    0.000 _internal.py:869(_ufunc_doc_signature_formatter)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
       24    0.000    0.000    0.001    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
       36    0.000    0.000    0.001    0.000 getlimits.py:111(_float_to_str)
       20    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
      278    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
       63    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        1    0.000    0.000    6.431    6.431 naive_part1.py:452(solve_puzzle)
       20    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
      217    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       27    0.000    0.000    0.008    0.000 sre_parse.py:937(parse)
        1    0.000    0.000    0.309    0.309 Image.py:27(<module>)
      190    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       20    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      188    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
      433    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:373(<dictcomp>)
      165    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       70    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.009    0.009 numerictypes.py:1(<module>)
       21    0.000    0.000    0.912    0.043 <frozen importlib._bootstrap_external>:1164(create_module)
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
       46    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:750(Thread)
