Solution to puzzle: 1580758017509
         199160 function calls (196840 primitive calls) in 0.639 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:46(<genexpr>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:440(_construct_lookups)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1465(<genexpr>)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6753(refer_to_array_attribute)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
      290    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      345    0.000    0.000    0.000    0.000 enum.py:753(value)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      110    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      164    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       36    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
       34    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        8    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       36    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
       18    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(create_module)
        8    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       14    0.000    0.000    0.000    0.000 core.py:8227(getdoc)
        1    0.000    0.000    0.002    0.002 ElementTree.py:1(<module>)
       27    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       18    0.000    0.000    0.001    0.000 arrayprint.py:1571(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 opcode.py:2(<module>)
        7    0.000    0.000    0.000    0.000 getlimits.py:668(__init__)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
       54    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(get_filename)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:74(_add_types)
       98    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
